刀,2
力,2
又,2
乜,2
三,3
干,3
亍,3
于,3
亏,3
士,3
土,3
工,3
才,3
下,3
寸,3
丈,3
大,3
兀,3
与,3
万,3
弋,3
上,3
小,3
口,3
山,3
巾,3
千,3
乞,3
川,3
亿,3
彳,3
个,3
么,3
久,3
勺,3
丸,3
夕,3
凡,3
及,3
广,3
亡,3
门,3
丫,3
义,3
之,3
尸,3
已,3
巳,3
弓,3
己,3
卫,3
孑,3
子,3
孓,3
也,3
女,3
飞,3
刃,3
习,3
叉,3
马,3
乡,3
幺,3
丰,4
王,4
井,4
开,4
亓,4
夫,4
天,4
元,4
无,4
韦,4
云,4
专,4
丐,4
扎,4
廿,4
艺,4
木,4
五,4
支,4
厅,4
卅,4
不,4
仄,4
太,4
犬,4
区,4
历,4
友,4
歹,4
尤,4
匹,4
厄,4
车,4
巨,4
牙,4
屯,4
戈,4
比,4
互,4
切,4
瓦,4
止,4
少,4
曰,4
日,4
中,4
贝,4
内,4
水,4
冈,4
见,4
手,4
午,4
牛,4
毛,4
气,4
壬,4
升,4
夭,4
长,4
仁,4
仃,4
什,4
片,4
仆,4
仉,4
化,4
仇,4
币,4
仂,4
仍,4
仅,4
斤,4
爪,4
反,4
兮,4
刈,4
介,4
父,4
爻,4
从,4
仑,4
今,4
凶,4
分,4
乏,4
公,4
仓,4
月,4
氏,4
勿,4
风,4
欠,4
丹,4
匀,4
乌,4
勾,4
殳,4
凤,4
卞,4
六,4
文,4
亢,4
方,4
闩,4
火,4
为,4
斗,4
忆,4
计,4
订,4
户,4
讣,4
认,4
讥,4
冗,4
心,4
尹,4
尺,4
夬,4
引,4
丑,4
爿,4
巴,4
孔,4
队,4
办,4
以,4
允,4
邓,4
予,4
劝,4
双,4
书,4
毋,4
幻,4
玉,4
刊,4
末,4
未,4
示,4
击,4
邗,4
戋,4
打,4
巧,4
正,4
扑,4
卉,4
扒,4
邛,4
功,4
扔,4
去,4
甘,4
世,4
艾,4
艽,4
古,4
节,4
艿,4
本,4
术,4
札,4
可,4
叵,4
匝,4
丙,4
左,4
厉,4
丕,4
石,4
右,4
布,4
夯,4
龙,4
戊,4
平,4
灭,4
轧,4
东,4
匜,4
劢,4
卡,4
北,4
占,4
凸,4
卢,4
业,4
旧,4
帅,4
归,4
目,4
旦,4
且,4
叮,4
叶,4
甲,4
申,4
号,4
电,4
田,4
由,4
卟,4
叭,4
只,4
央,4
史,4
叱,4
叽,4
兄,4
叼,4
叩,4
叫,4
叻,4
叨,4
另,4
叹,4
冉,4
皿,4
凹,4
囚,4
四,4
生,4
失,4
矢,4
氕,4
乍,4
禾,4
仨,4
仕,4
丘,4
付,4
仗,4
代,4
仙,4
仟,4
仡,4
仫,4
伋,4
们,4
仪,4
白,4
仔,4
他,4
仞,4
斥,4
卮,4
瓜,4
乎,4
丛,4
令,4
用,4
甩,4
印,4
氐,4
乐,4
尔,4
句,4
匆,4
犰,4
册,4
卯,4
犯,4
外,4
处,4
冬,4
鸟,4
务,4
刍,4
包,4
饥,4
主,4
市,4
庀,4
邝,4
立,4
冯,4
邙,4
玄,4
闪,4
兰,4
半,4
汀,4
汁,4
汇,4
头,4
汈,4
汉,4
忉,4
宁,4
穴,4
宄,4
它,4
讦,4
讧,4
讨,4
写,4
让,4
礼,4
讪,4
讫,4
训,4
必,4
议,4
讯,4
记,4
永,4
司,4
尻,4
尼,4
民,4
弗,4
弘,4
阢,4
出,4
阡,4
辽,4
奶,4
奴,4
尕,4
加,4
召,4
皮,4
边,4
孕,4
发,4
圣,4
对,4
弁,4
台,4
矛,4
纠,4
驭,4
母,4
幼,4
丝,4
匡,6
耒,6
邦,6
玎,6
玑,6
式,6
迂,6
刑,6
邢,6
戎,6
动,6
圩,6
圬,6
圭,6
扛,6
寺,6
吉,6
扣,6
扦,6
圪,6
考,6
托,6
圳,6
老,6
圾,6
巩,6
执,6
扩,6
圹,6
扪,6
扫,6
圯,6
圮,6
地,6
扬,6
场,6
耳,6
芋,6
芏,6
共,6
芊,6
芍,6
芨,6
芄,6
芒,6
亚,6
芝,6
芎,6
芑,6
芗,6
朽,6
朴,6
机,6
权,6
过,6
亘,6
臣,6
吏,6
再,6
协,6
西,6
压,6
厌,6
厍,6
戌,6
在,6
百,6
有,6
存,6
而,6
页,6
匠,6
夸,6
夺,6
夼,6
灰,6
达,6
戍,6
尥,6
列,6
死,6
成,6
夹,6
夷,6
轨,6
邪,6
尧,6
划,6
迈,6
毕,6
至,6
此,6
乩,6
贞,6
师,6
尘,6
尖,6
一,1
乙,1
二,2
十,2
丁,2
厂,2
七,2
卜,2
八,2
人,2
入,2
乂,2
儿,2
九,2
匕,2
几,2
刁,2
了,2
乃,2
劣,6
光,6
当,6
吁,6
早,6
吐,6
吓,6
旯,6
曳,6
虫,6
曲,6
团,6
同,6
吕,6
吊,6
吃,6
因,6
吸,6
吗,6
吆,6
屿,6
屹,6
岌,6
帆,6
岁,6
回,6
岂,6
屺,6
则,6
刚,6
网,6
肉,6
凼,6
囝,6
囡,6
