0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
52,从156cm长到158cm，从55kg减到45kg～就是这样日常的练习反复再反复坚持500天。,568000,4241,3253,12000,3,1,1,0,47,['500天']
53,小姐姐的超强背部,561000,856,719,1753,0,0,0,0,8,
54,国内up主《健身少女》硬核OP真人版PV——《健身少女》硬核追番03！！！健身教练的角度看第三集是怎样的效果？,560000,464000,46000,16000,1,4,1,1,55,['03！']
55,【克里斯VLOG】纯新手的六块腹肌训练,555000,104000,24000,71000,2,2,0,0,19,
56,连续7天每天喝2L水有什么变化？居然瘦了5斤？！,552000,604000,9343,3451,1,3,2,1,24,"['7天', '5斤']"
57,健身房一帮冲重量的疯子，你怕不怕,550000,1318,3329,2481,1,0,0,0,16,
58,这个夏天，告别含胸驼背圆肩！只要2个动作，每天10分钟。,538000,219000,32000,62000,0,1,2,0,28,"['2个', '10分钟']"
59,育碧出品：专为肥宅打造的半小时HIIT减肥操，UP实测3个月暴瘦16KG,530000,62000,23000,70000,0,0,1,0,36,['3个']
60,连续30天每天50个波比跳，看看发生什么改变,528000,15000,2292,6389,0,0,2,0,22,"['30天', '50个']"
61,最无奈的拳击手，赛前称重被妹妹抢了风头，网友：我想当你妹夫,517000,154,1608,1309,1,0,0,0,29,
62,14天减去12斤，我把经验无保留分享给你们。,515000,219000,18000,35000,2,0,2,0,22,"['14天', '12斤']"
63,220斤特警托尼恐怖身体素质，这一拳能把头打掉,501000,158000,4999,4401,2,0,1,0,23,['220斤']
64,大腿抽筋,493000,27,512,140,0,0,0,0,4,
65,健身界最会跳舞的男人,486000,880,2397,1935,0,0,0,0,10,
66,每天5步 两周高效瘦腿 摆脱梨形腿 视觉显高|改善膝超伸|骨盆前倾,478000,236000,14000,71000,2,2,1,0,33,['5步']
67,《瘦腿系列》彻底改善肌肉型腿部问题，针对肌肉大腿、肌肉型小腿的改善原理（P1）和训练方法（P2）|纯干货瘦腿视频,472000,42000,18000,65000,3,1,0,0,56,
68,增高8厘米必遇的20个难题，内有详细解答！！,470000,68000,18000,13000,2,2,2,0,22,"['8厘米', '20个']"
69,超级减肥干货：瘦了45斤以后我终于学会「科学健康减肥」了,470000,41000,14000,22000,3,0,1,0,28,['45斤']
70,减肥成功后，我的生活变好了吗？18线UP惨状，内容过于真实！致被正能量毒害的年轻人/减肥教程！,466000,35000,26000,6049,4,3,1,1,47,['18线']
71,【克里斯VLOG】7 分钟你可以每天都做的早晨锻炼,466000,104000,15000,48000,1,2,1,0,25,['7分钟']
72,一个月高效瘦大腿！改善假胯宽，脂肪堆积，视觉增高|美丽芭蕾,461000,294000,20000,80000,3,2,0,0,29,
73,自然健身能达到什么样子？,445000,23000,2074,1765,2,1,0,1,12,
74,每天一小时 ‖ 月瘦二十斤 ‖ 地狱难度 ‖ 超有效瘦腿运动 ‖ 快速练出马甲线 ‖改善假胯款 ‖瘦大腿‖Pamela Rf魔鬼系列,429000,46000,8074,70000,4,0,0,0,66,
75,【月瘦10斤的我都吃了什么?!】6种超简单有效的减脂餐推荐!(新手必看),419000,639000,18000,23000,3,5,2,1,36,"['10斤', '6种超']"
76,当我喝了一勺氮泵后我准备原地起飞了,412000,21000,2164,2229,1,0,0,0,17,
77,【吃出6块腹肌!】10种食物帮你快速减脂(新手必看).纽约曼哈顿Vlog.,408000,639000,16000,18000,1,3,2,0,37,"['6块', '10种']"
78,瘦16斤！标题表白周六野爱她！减肥经验分享 | 减肥食谱 • 减脂餐 | 减肥运动推荐 • 燃脂 • 拉伸,403000,5639,4888,24000,2,4,1,0,53,['16斤']
79,日本人看杨老师还原《流汗吧！健身少女》OP 日本人大爆笑,402000,45000,6637,2934,1,1,0,0,28,
80,嗨爆！！肌肉猛男黑人毅到百威展台蹦迪，小姐姐很漂亮哟~~~,396000,1485,790,928,2,5,0,0,29,
81,#我个男生为什么会看这种视频#p14   你们最爱的古风小哥哥又来了哦 素质三连哦谢谢 QQ群在看资料,394000,14000,10000,4611,3,2,0,1,51,
82,肩痛/肩关节弹响，一网打尽。一步步教会你自我评估和康复处理。,393000,56000,15000,34000,1,0,0,0,30,
83,【cici】我是如何维持平坦小腹的-每天100个！简单易坚持的腹部运动！带着腹肌去七夕吧！,391000,41000,12000,46000,3,6,1,1,45,['100个']
84,4分钟快速燃脂训练 | 无器械 一个动作 | 高效瘦腰瘦腿瘦全身 | 24小时持续减脂,391000,95000,26000,52000,1,3,2,0,43,"['4分钟', '24小时']"
85,【减肥心态崩了?!】减脂失败的五个心理误区!(新手必看),391000,639000,15000,7657,2,5,0,1,28,
86,小伙子，你这都是死肌肉…,378000,93000,921,154,0,0,0,0,12,
87,【专业眼光看《健身少女》居然这么多错误？——《健身少女》硬核追番02】这一集槽点有点多……但是信息量也巨大！,377000,464000,17000,4636,3,4,1,1,54,['02】']
88,【美丽芭蕾】短时间纤腰瘦腿快速瘦身后台特训系列！,377000,49000,5867,49000,1,3,0,0,24,
89,周六野瘦斜方肌运动八天对比:D,375000,1546,1323,3530,0,0,0,0,15,
90,27个俄挺俯卧撑？！全中国最牛逼的未成年街健大神！,374000,9907,6736,1661,0,3,1,1,25,['27个']
91,女团（fromis_9)出道前的魔鬼训练 当减脂操跳,369000,498,8674,40000,2,0,1,0,26,['9)']
92,天鹅臂+周六野 一个月还你直角肩,363000,1368,3108,8526,0,0,0,0,16,
93,我尝试了30天马甲线（腹肌）挑战，结果……,363000,55000,7378,25000,1,0,1,0,21,['30天马']
94,匠造君/【零基础健身合集】解析动作发力，保证看完就会，言简意赅！,354000,138000,33000,77000,1,3,0,0,32,
95,7日减脂餐 | 减肥不饿肚，这样吃，你一定会瘦！,350000,14000,7065,19000,0,2,1,0,24,['7日']
96,3个月瘦52斤！不运动不挨饿，我的减肥经历+实用干货,345000,17000,8377,10000,2,1,2,0,26,"['3个', '52斤']"
97,#我个男生为什么会看这种视频#p13如果可以，你愿意做我的小猫吗，素质三连哦谢谢小可爱啦,340000,14000,13000,9167,3,2,0,1,44,
98,臀的搬运工,337000,1689,842,2728,0,0,0,0,5,
99,周六野减斜方肌【去除讲话，补充遗漏动作 】,336000,1481,3693,31000,2,2,0,0,21,
100,速成6块腹肌！不用任何设备，只需要一个肌友！,334000,1434000,20000,16000,0,2,1,0,22,['6块']
101,这是不是你在健身房遇到的小姐姐呢  「cool」,333000,14000,3716,6694,0,0,0,0,24,
102,淘气弟弟挑衅正在瑜伽的姐姐，惊慌的姐姐居然.....,328000,828,725,1249,4,0,0,0,26,
103,真实！这是不是你练前 喝氮泵的样子 「搞笑健身系列」,327000,14000,1852,647,1,1,0,0,26,
104,来自轩子巨2兔的平板支撑演示教学，非常刺激。,326000,61000,1127,4713,1,0,1,0,22,['2兔']
105,脂肪“粉碎机”！10分钟进阶版HIIT|关节友好，无道具|突破平台期，学生党减肥|美丽芭蕾,323000,294000,12000,38000,3,4,1,0,45,['10分钟']
106,坚持两个月的美丽芭蕾天鹅臂对比视频！！！终于不驼背了,321000,1339,3643,4614,2,3,0,0,26,
107,肚子大可能不是因为你胖？——常见不良体态叫骨盆前倾,312000,2252,3173,8892,2,1,0,1,25,
108,【不交智商税7】你为什么瘦不下来？教你快速突破平台期！加速减脂！手把手教你应对减脂瓶颈！如何调整饮食，有氧以及力量训练？（新手必看干货！）,311000,54000,11000,17000,2,8,1,1,69,['7】']
109,【1个月瘦30斤】艺考生！！！减肥秘籍：吸脂/辟谷/运动/食谱！！！,309000,3290,1294,4900,0,8,2,0,34,"['1个', '30斤']"
110,OX型腿，小腿外翻，X型腿，原来练这个部位就可以把腿变直！,309000,236000,10000,42000,0,1,0,0,29,
111,【68公斤到86公斤!】新手最容易犯的6个增肌错误!,306000,639000,14000,9833,3,4,3,0,26,"['68公斤', '86公斤', '6个']"
112,【B站最强（肌）肉番，首部哲学番好看吗？——XJBL小讲堂】场面异常火爆！全程点评！,305000,464000,13000,3435,2,5,0,1,42,
113,"每天只需10分钟，7天见效！|高效马甲线运动（初级+进阶), 亲测有效! |无跳动无工具，跟做版",303000,40000,7561,40000,1,4,2,0,48,"['10分钟', '7天']"
114,侧腰总会挤出肉，穿紧身衣服很难看！方法不对，腰有可能越练越粗！跟我瘦侧腰，练出迷人S曲线！,303000,236000,7971,32000,2,3,0,0,45,
115,【未来你可以吃任何想吃的东西，也永远不会胖】正念饮食 | 暴食症的恢复,301000,132000,11000,14000,2,3,0,0,35,
116,真一小时燃脂1000大卡，BTS音乐背景，结合了舞蹈和传统的运动动作，创造出最有趣，最激烈的健身活动，略渣画质,300000,14000,8018,51000,4,0,1,0,55,['1000大卡']
117,韩国健身女神 绝色尤物 一笑倾城 你想认识她吗  「cool」,298000,14000,1344,4851,0,0,0,1,31,
118,Vol.9 超详细带你了解和改善骨盆前倾,298000,20000,12000,37000,3,0,0,0,20,
119,现在知道韩国女主播们比中国女主播们强在哪了：别人闺蜜一约就去健身房，我们一约就去逛大街,298000,148000,645,2237,1,0,0,0,43,
120,六个动作在家改善OX型腿❗️肌肉腿❗️脚踝不正❗️,297000,8501,9994,40000,2,0,0,0,25,
121,全麦 | 一个月练出蜜桃臀！小白必看、健身房练臀四大经典动作,296000,12000,2134,5328,0,2,0,0,30,
122,【跑步伤膝盖？跑步粗小腿？——XJBL小讲堂】你必须知道的关于跑步的5个真相！以及怎样选择适合你的跑鞋？,295000,464000,23000,14000,3,6,1,1,52,['5个']
123,【周六野】我去健身房都做什么运动？,294000,3296000,7750,7357,0,3,0,1,17,
124,10分钟改善斜方肌__剪辑版【周六野】（剪掉首尾，自用练习，侵删）,294000,817,2523,24000,1,2,1,0,33,['10分钟']
125,天鹅臂动作你确定做对了吗 |肢解并详细讲解天鹅臂全套动作的注意事项 | 瘦胳膊|改善斜方肌|高低肩,293000,1435,2992,14000,3,4,0,1,49,
126,小肚子减不掉，腰疼，改掉骨盆前倾就解决了！,291000,219000,15000,34000,1,1,0,0,21,
127,引体向上起不来？试试这招！引体向上教程—快速提高引体成绩,286000,95000,19000,32000,1,2,0,1,28,
128,如何正确减脂|15天减脂全过程实录|马甲线速成记|科学减脂，瘦真的不是什么难事，冲呀！！,284000,118000,9517,17000,4,5,1,1,44,['15天']
129,53kg→43kg |不运动不节食真的能瘦20斤！,282000,130000,3799,7312,0,2,1,0,25,['20斤']
