link,title,view,danmu,author
https://www.bilibili.com/video/av56107944,大佬甜er |「粉红女郎」万人迷陈好仿妆！来一波回忆杀～,73.6万,6698,大佬甜er
https://www.bilibili.com/video/av54542560,Vivekatt的化妆黑历史重现！眼妆巨脏不能近看！皮肤坑洼不平！我的妈呀，自己都吓一跳...,71.7万,1.3万,Vivekatt
https://www.bilibili.com/video/av66120613,小松菜奈仿妆 初秋日系厌世妆分享,71.6万,2416,二门_
https://www.bilibili.com/video/av62640983,美妆界的泥石流！给男人脱腿毛，四款脱毛仪真人实测！,70.7万,2074,老爸评测
https://www.bilibili.com/video/av61283037,化妆成徐峥是一种什么体验？妈妈已经三天没打我了,69.9万,4329,一团熊子
https://www.bilibili.com/video/av56030452,铁一WENDYZ｜突嘴拯救进化史 变美变精致化妆科技干货经验,68.6万,1856,铁一WENDYZ
https://www.bilibili.com/video/av55799549,单眼皮肿泡眼秒变双眼皮眼妆|单眼皮眼妆|单眼皮精致妆容,66.1万,3067,carolyn-GGG
https://www.bilibili.com/video/av60988172,【韩国美妆】光是看看就很满足!Romand创始人闵赛伦的干燥玫瑰色口红/唇釉推荐+上妆技巧♡Saerom Min,65.8万,1336,斑鸠心平气和everyday
https://www.bilibili.com/video/av62216766,花3000块请日本化妆师，把我化成“石原里美”,65.1万,4897,深夜徐老师
https://www.bilibili.com/video/av60343138,干货满满,64.2万,63,丑小何
https://www.bilibili.com/video/av57980770,BUYI | 软萌哭哭妆 | 从猛汉落泪到仙女式哭泣的距离 就是这一个视频,62.9万,1289,吴不伊
https://www.bilibili.com/video/av54269726,小出租房里的简易粗暴夜间护肤!【nya酱】,60.9万,854,nya酱的一生
https://www.bilibili.com/video/av55133834,夏日橘子汽水妆,59.9万,4007,幽熙_Fairy
https://www.bilibili.com/video/av54466037,【超燃】百元向 | 我不允许你不知道的国货top9！,59.2万,2986,宝剑嫂
https://www.bilibili.com/video/av56286943,【维维】震撼我全家的职业化妆师手法！68元的Jennie仿妆究竟值不值？化妆店探店vlog,58.6万,3227,维维维An
https://www.bilibili.com/video/av57076302,【韩国科普向】10分钟，完全祛除黑头的简单方法！【朴鸣】,56.9万,557,朴鸣Piaoming
https://www.bilibili.com/video/av54821320,国货！该醒了！那些丑哭了的良心国货！,55.9万,2022,嘟嘟酱啊啊啊
https://www.bilibili.com/video/av57920634,【嫂 】平采娜仿妆 | 国风感红唇妆 | 评论说我像小水，仿了才发现，只有性别像。,54.8万,3391,宝剑嫂
https://www.bilibili.com/video/av59743592,天呐！人间水蜜桃！怎么可以这么软！20块8个！蜜桃美妆蛋,54.6万,146,酸黄瓜番茄牛肉堡
https://www.bilibili.com/video/av64709354,学生党好物分享，争取做街上最亮的崽！,54.5万,5794,拉宏桑
https://www.bilibili.com/video/av60677477,【SamChak】极简！大眼术 | 戴眼镜必看！一步到位帮你解决鼻部脱妆，眼睛变形~热出油的夏天！你值得拥有！,54.3万,1199,仙姆SamChak
https://www.bilibili.com/video/av58865489,宅男发型大改造！2019最受女生喜欢的男生短发发型，细软发质救星,53.9万,656,Colapie-Allen发型师
https://www.bilibili.com/video/av61965315,【酒栗】10款国货粉底液红黑榜 平价挖到宝！（无广）,53.6万,6913,小酒栗Joly
https://www.bilibili.com/video/av59917069,这一年我是如何一步步走向秃头女孩的深渊！14种染发漂发剂大放送！,53.3万,1763,狮子尾有有
https://www.bilibili.com/video/av57630913,【zuzu】复古港风妆| 路人秒变王祖贤 风情又少女,53.2万,1404,祖祖zuzu_
https://www.bilibili.com/video/av61896270,超全隆鼻干货/从小被说丑八怪，自卑隆鼻又失败/经历分享/还不做功课？别学我没做好功课被坑做3次鼻子/干货分享,53.0万,3082,是煎蛋酱鸭
https://www.bilibili.com/video/av65859641,【胡老吃】找了毛戈平的柜姐帮我化妆，结果竟然......,52.8万,1713,胡老吃
https://www.bilibili.com/video/av59986530,表情管理的小技巧,52.6万,1448,无星Elio
https://www.bilibili.com/video/av57730031,有手就会扎！简单却不失俏皮可爱的夏日清凉发型,52.1万,2219,陈吃饭_
https://www.bilibili.com/video/av64582237,小伙颜值高 长的帅 随便剪了一款三七侧背 小鲜肉变型男,51.2万,287,发型与脸型枫
https://www.bilibili.com/video/av62892769,女团心机编发教程2.0 | 发饰妙用 6款百搭可爱酷飒/淑女编发 【一枝南南】,51.1万,1000,一枝南南
https://www.bilibili.com/video/av65614795,空瓶就一定好用的吗？没准空的是青铜呢～我的空瓶大分享！【nya酱】,50.0万,5936,nya酱的一生
https://www.bilibili.com/video/av57785478,再次合体，找我妹帮我化个妆，咱俩到底像不像？大胖和软软 假美食po主 vlog 美妆,49.5万,4224,大胖和软软
https://www.bilibili.com/video/av57212483,【0基础快速】手动磨皮底妆大法|严重痘肌也能拥有自然小清新,49.1万,2144,陈吃饭_
https://www.bilibili.com/video/av66030485,让男友帮我化个粉嫩少女妆，会翻车嘛？【知名盲人UP主美妆首秀】,49.1万,8332,十音Shiyin
https://www.bilibili.com/video/av59590987,欠债+差点儿毁容/千万别抽脂：超级可怕失败的抽脂经历,49.1万,4122,是煎蛋酱鸭
https://www.bilibili.com/video/av59448072,改掉让人变丑的三个习惯|一周拥有侧颜杀|假期逆袭偷偷变美,49.0万,1928,张大正
https://www.bilibili.com/video/av55701671,【超清】这是我见过的最奢华的唇妆！没有之一！,48.8万,2161,neko的闲杂生活
https://www.bilibili.com/video/av63516891,碧梨仿妆✧《Bad Guy》踩点向,47.9万,1310,二门_
https://www.bilibili.com/video/av55305552,夏季清新粉色系 ”初恋脸” 妆容！肿单也可以轻松分驾驭的粉色眼影！,47.5万,1549,Vivekatt
https://www.bilibili.com/video/av63713669,【梨】8年化妆师，总结的10个冷门化妆技巧 / 垃圾眼影盘再利用,46.9万,631,赤名梨香
https://www.bilibili.com/video/av62439566,【言生】敖丙 哪吒之魔童降世 cos,46.9万,2568,夙胤魔尊言生生
https://www.bilibili.com/video/av59188183,我盲涂了十款国货唇釉！到底哪些真的值得买？【nya酱】,46.6万,7959,nya酱的一生
https://www.bilibili.com/video/av55463903,让直男测评我的粉底液！和男票的“浪漫”约会记录！【nya酱】,45.5万,7826,nya酱的一生
https://www.bilibili.com/video/av65777549,【开学大作战！自己一周时间变美】肿眼泡/单眼皮/内双福音！,45.3万,1026,彤浵tong
https://www.bilibili.com/video/av62774092,男生发型为什么每次理发都是剃两边，试试这个方法就不用剃,45.1万,884,Colapie-Allen发型师
https://www.bilibili.com/video/av55801330,【平价向|绝不可错过的618清单】这一波没看就是血亏，看到就是赚到。,45.0万,4.7万,宝剑嫂
https://www.bilibili.com/video/av63655821,【大嫂vlog】毛戈平在线换头现场！满满干货，从素颜小白到港风女神！,44.8万,2444,原来是西门大嫂
https://www.bilibili.com/video/av59889250,明年30岁的我是如何抗老的！【nya酱】,44.5万,4662,nya酱的一生
https://www.bilibili.com/video/av55160594,住个酒店居然得了妇科病？！为什么我不喜欢住酒店？女孩子必看！！！,43.8万,1880,大敏来了
https://www.bilibili.com/video/av56781683,【8款夏日日常减龄发型 Rika_花花】清爽元气每天都不一样~,43.2万,756,Rika_花花
https://www.bilibili.com/video/av56393566,【一花】必买好物安利 / 新手和学生党快点开！！,43.2万,6354,一花啦啦啦
https://www.bilibili.com/video/av56834563,近100年来中国女性的妆容演变过程,43.0万,582,葡萄味小猫饼
https://www.bilibili.com/video/av55378293,日系女孩 |乌龙蜜茶清透妆容分享,42.7万,1240,永困王
https://www.bilibili.com/video/av64572397,【助眠】化妆品助眠视频,42.6万,961,艾孜麦提ovo
